Plot	Sample	SampDate	tinwght	mstsoil1011g	tinsoilOD24h	Gravmois	Imputed	Gravmois_percentage
8	3	2017-07-05 00:00:00.000	0.99	6.07	5.72	7.4	0	0.073995772
8	3	2017-07-12 00:00:00.000	1	6.16	5.82	7.05	0	0.070539419
8	3	2017-07-18 00:00:00.000	0.99	6.22	5.82	8.28	0	0.082815735
8	3	2017-08-08 00:00:00.000	1.01	6.6	5.83	15.98	0	0.159751037
8	4	2017-07-05 00:00:00.000	1	6	6.51	5.99	1	0.0599
8	4	2017-07-12 00:00:00.000	1	6.29	5.89	8.18	0	0.081799591
8	4	2017-07-18 00:00:00.000	1.01	6.19	5.67	11.16	0	0.111587983
8	4	2017-08-08 00:00:00.000	1.01	6.6	5.33	29.4	0	0.293981481
8	5	2017-07-05 00:00:00.000	1	6.87	5.65	5.99	1	0.0599
8	5	2017-07-12 00:00:00.000	1.02	6.44	5.67	16.56	0	0.165591398
8	5	2017-07-18 00:00:00.000	1.02	6.3	5.93	7.54	0	0.075356415
8	5	2017-08-08 00:00:00.000	1.02	6.12	5.15	23.49	0	0.234866828
9	1	2017-07-05 00:00:00.000	1.03	6.48	6.16	6.24	0	0.062378168
9	1	2017-07-12 00:00:00.000	1	6.34	5.85	10.1	0	0.101030928
9	1	2017-07-18 00:00:00.000	1.02	6.42	5.99	8.65	0	0.086519115
9	1	2017-08-08 00:00:00.000	1.01	6.59	5.82	16.01	0	0.16008316
9	2	2017-07-05 00:00:00.000	1.02	6.17	5.92	5.1	0	0.051020408
9	2	2017-07-12 00:00:00.000	0.97	6.39	5.98	8.18	0	0.081836327
9	2	2017-07-18 00:00:00.000	1.01	6.3	5.98	6.44	0	0.064386318
9	2	2017-08-08 00:00:00.000	1.02	6.46	5.8	13.81	0	0.138075314
9	3	2017-07-05 00:00:00.000	1	6.15	5.9	5.1	0	0.051020408
9	3	2017-07-12 00:00:00.000	0.98	6.17	5.68	10.43	0	0.104255319
9	3	2017-07-18 00:00:00.000	1.01	6.41	6.05	7.14	0	0.071428571
9	3	2017-08-08 00:00:00.000	1	6.32	5.65	14.41	0	0.144086022
