Plot	Sample	SampDate	doc_don	tin_wt	grav_mois	grav_od	mbc_prefum	mbc_postfum	leftover
11	1	2017-07-05 00:00:00.000	10.35	1.02	6.02	5.75	10.14	10.45	22.44
11	1	2017-07-14 00:00:00.000	10.58	1	6.35	5.97	10.97	10.98	14.27
11	1	2017-07-20 00:00:00.000	10.78	1	6.47	6.05	10.7	11.02	23.95
11	1	2017-08-10 00:00:00.000	10.88	1	6.36	5.52	10.66	11.31	20.83
11	2	2017-07-05 00:00:00.000	10.18	1.02	6.47	6.2	10.1	10.39	29.34
11	2	2017-07-14 00:00:00.000	10.96	1	6.33	6.03	10.83	10.72	18.42
11	2	2017-07-20 00:00:00.000	10.81	1.01	6.22	5.87	10.62	10.79	29.74
11	2	2017-08-10 00:00:00.000	10.74	1.06	6.39	5.73	10.52	11.42	31.09
11	3	2017-07-05 00:00:00.000	10.04	1	6.28	5.99	10.05	10.31	33.83
11	3	2017-07-14 00:00:00.000	10.91	1	6.98	6.63	10.52	10.75	19.59
11	3	2017-07-20 00:00:00.000	10.75	1.01	6.23	5.74	10.92	10.77	32
11	3	2017-08-10 00:00:00.000	10.75	1.06	6.06	5.33	10.72	11.3	10.39
11	4	2017-07-05 00:00:00.000	10.13	1	6.29	5.96	10.09	10.98	23.32
11	4	2017-07-14 00:00:00.000	10.94	1.01	6.19	5.88	10.69	10.68	14.28
11	4	2017-07-20 00:00:00.000	10.74	1.02	6.36	5.9	10.81	10.92	39.32
11	4	2017-08-10 00:00:00.000	10.7	1.02	6.97	5.87	10.79	11.46	13.32
11	5	2017-07-05 00:00:00.000	10.19	0.99	6.42	6.12	10.05	10.75	21.03
11	5	2017-07-14 00:00:00.000	10.94	1	6.59	6.11	10.65	10.51	18.79
11	5	2017-07-20 00:00:00.000	10.95	1	6.27	5.8	10.4	10.84	34.05
11	5	2017-08-10 00:00:00.000	10.74	1.05	6.16	5.31	10.93	11.86	25.95
12	1	2017-07-05 00:00:00.000	10.28	1.02	6.26	6	10.11	10.4	18.13
12	1	2017-07-14 00:00:00.000	10.75	0.99	6.27	5.98	11.04	10.58	26.1
12	1	2017-07-20 00:00:00.000	10.76	0.99	6.16	5.71	10.74	10.53	31.17
12	1	2017-08-10 00:00:00.000	10.8	0.99	6.65	5.77	10.97	11.47	23.46
12	2	2017-07-05 00:00:00.000	10	0.99	6.17	5.82	10.16	10.83	20.65
12	2	2017-07-14 00:00:00.000	10.62	1	6.96	6.7	10.68	10.7	23.1
12	2	2017-07-20 00:00:00.000	10.93	1.03	6.38	5.92	10.63	10.7	34
12	2	2017-08-10 00:00:00.000	10.94	1.02	6.61	5.71	10.75	11.76	19.39
12	3	2017-07-05 00:00:00.000	10.16	1.02	6.58	6.22	10.24	11.45	17.7
12	3	2017-07-14 00:00:00.000	10.94	0.98	6.68	6.25	10.68	10.67	20.79
12	3	2017-07-20 00:00:00.000	10.78	1.02	6.28	5.8	10.91	10.82	34.96
12	3	2017-08-10 00:00:00.000	10.92	1	6.42	5.73	10.68	11.22	25.75
12	4	2017-07-05 00:00:00.000	10.23	1	6.04	5.72	10.04	10.59	21.49
12	4	2017-07-14 00:00:00.000	10.97	1.03	6.89	6.48	10.97	10.76	15.35
12	4	2017-07-20 00:00:00.000	10.76	1.02	6.21	5.78	10.72	10.94	30.79
12	4	2017-08-10 00:00:00.000	11	1.02	6.79	5.87	10.61	11.47	28.07
12	5	2017-07-05 00:00:00.000	10.16	1.01	6.08	5.8	10.09	11.02	18.34
12	5	2017-07-14 00:00:00.000	10.83	1.01	6.21	5.85	10.79	10.75	35.11
12	5	2017-07-20 00:00:00.000	10.99	1.02	6.34	5.81	10.28	10.61	29.81
12	5	2017-08-10 00:00:00.000	10.94	1.01	6.53	5.47	10.9	11.94	27.84
