Plot	Sample	SampDate	NO3_mgkgdrysoil	NH4_mgkgdrysoil	minN_mgkgdrysoil	NPOC_mgkgdrysoil	DON_mgkgdrysoil	MBC_mgkgdrysoil	MBN_mgkgdrysoil
5	5	2017-08-09 00:00:00.000	0	2.505040048	2.505040048	310.1963551	12.47361956	167.4500044	33.41737001
6	1	2017-07-04 00:00:00.000	0	6.04112964	6.04112964	310.6846451	6.734297992	773.4609338	59.48158074
6	1	2017-07-13 00:00:00.000	0	3.310673084	3.310673084	149.9167443	4.14217725	375.3790622	13.90197476
6	1	2017-07-19 00:00:00.000	0	2.609009429	2.609009429	73.80738864	3.02856517	805.3259498	24.51978815
6	1	2017-08-09 00:00:00.000	0	0	0	101.0535971	7.809710068	442.4297135	48.65664671
6	2	2017-07-04 00:00:00.000	0	4.918234356	4.918234356	201.1324325	2.809377892	440.556468	43.74811969
6	2	2017-07-13 00:00:00.000	0	4.215558485	4.215558485	245.3333169	8.267993311	0	18.27603912
6	2	2017-07-19 00:00:00.000	0	4.520783414	4.520783414	148.487062	4.828774314	669.3631518	22.93073269
6	2	2017-08-09 00:00:00.000	0	2.520955105	2.520955105	186.7823366	5.185291765	142.4228243	33.24876825
6	3	2017-07-04 00:00:00.000	0	6.383902392	6.383902392	221.3543164	3.759155845	462.2067085	43.60114373
6	3	2017-07-13 00:00:00.000	0	2.72183842	2.72183842	113.5741839	6.764334835	367.2383204	35.1344885
6	3	2017-07-19 00:00:00.000	0	6.670908568	6.670908568	180.5570503	4.79486626	717.7343216	30.00570434
6	3	2017-08-09 00:00:00.000	0	1.425834323	1.425834323	116.0048445	6.877612104	323.395708	43.68177476
6	4	2017-07-04 00:00:00.000	0	5.192657011	5.192657011	347.1357722	8.025043052	548.6560322	47.51075846
6	4	2017-07-13 00:00:00.000	0	2.190996859	2.190996859	184.2108734	7.59631741	222.1999451	33.90447441
6	4	2017-07-19 00:00:00.000	0	4.948880479	4.948880479	220.1243702	8.099987798	686.6640783	31.39524761
6	4	2017-08-09 00:00:00.000	0	1.477972916	1.477972916	119.3478528	6.654282094	360.642086	40.2608602
6	5	2017-07-04 00:00:00.000	0	7.081849006	7.081849006	340.7696803	9.236081657	886.3096454	81.5038902
6	5	2017-07-13 00:00:00.000	0	2.014146803	2.014146803	178.9554529	8.105298363	67.57603844	21.51620897
6	5	2017-07-19 00:00:00.000	0	10.27013644	10.27013644	339.4009156	5.864344819	368.2509846	28.0266807
6	5	2017-08-09 00:00:00.000	0	1.362754684	1.362754684	191.9477019	7.739752565	232.1915781	37.68895702
7	1	2017-07-05 00:00:00.000	0	7.625588523	7.625588523	245.3020791	4.564004677	702.6595853	63.35564478
7	1	2017-07-12 00:00:00.000	0	2.937936135	2.937936135	208.3783968	10.1860385	489.9118773	49.82426979
7	1	2017-07-18 00:00:00.000	0	3.975479282	3.975479282	369.3774466	18.43177348	524.2875774	32.36779206
7	1	2017-08-08 00:00:00.000	0.610897255	1.247532468	1.858429723	103.9686899	7.095517159	376.7534388	39.54139147
7	2	2017-07-05 00:00:00.000	0	11.31561378	11.31561378	718.4893902	5.681191904	0	24.64001472
7	2	2017-07-12 00:00:00.000	0	3.349803981	3.349803981	128.1729287	5.590802956	330.4874759	22.6319489
7	2	2017-07-18 00:00:00.000	0	4.970155163	4.970155163	191.5844915	8.039041697	125.2451899	6.322555382
7	2	2017-08-08 00:00:00.000	2.406755243	0	2.406755243	104.5393654	5.462765236	336.4268946	40.99211386
7	3	2017-07-05 00:00:00.000	0	7.223678958	7.223678958	231.2241059	2.475318774	451.1491663	45.49828641
7	3	2017-07-12 00:00:00.000	0	3.362597137	3.362597137	130.4622456	8.277826195	297.4233554	21.1307672
7	3	2017-07-18 00:00:00.000	0	6.476491874	6.476491874	171.7131092	6.063216929	395.3611344	22.56842801
7	3	2017-08-08 00:00:00.000	1.835807177	0	1.835807177	92.73906458	5.740285663	341.3839485	42.12555082
7	4	2017-07-05 00:00:00.000	0	11.04718848	11.04718848	533.0370026	2.361982324	0	37.28014471
7	4	2017-07-12 00:00:00.000	0	1.570220282	1.570220282	118.6491169	8.75540378	442.2738413	35.48070283
7	4	2017-07-18 00:00:00.000	0	7.280605553	7.280605553	155.6115673	4.595144763	306.0880247	19.1538949
7	4	2017-08-08 00:00:00.000	1.933084125	1.716402436	3.649486561	93.23155947	3.813389728	387.8868709	47.38353233
7	5	2017-07-05 00:00:00.000	0	5.195486579	5.195486579	212.6871491	3.295039534	416.9888226	42.25290743
7	5	2017-07-12 00:00:00.000	0.959569262	1.448032477	2.407601739	120.012335	7.86227101	554.213552	42.82678451
7	5	2017-07-18 00:00:00.000	0	2.596386156	2.596386156	165.7568576	5.892268952	274.5533836	17.3579232
7	5	2017-08-08 00:00:00.000	0.233776759	0	0.233776759	156.326929	11.88529247	336.7939432	49.31981318
8	1	2017-07-05 00:00:00.000	0	5.796873669	5.796873669	406.8548341	5.870091512	401.8053886	45.34074478
8	1	2017-07-12 00:00:00.000	0	2.57441523	2.57441523	151.8262762	8.903047969	300.7449293	29.03580903
8	1	2017-07-18 00:00:00.000	0	3.298150067	3.298150067	345.7342375	16.58008771	448.6074867	31.03788543
8	1	2017-08-08 00:00:00.000	0	0	0	369.0303275	7.52344293	0	40.54428103
8	2	2017-07-05 00:00:00.000	0	6.014858496	6.014858496	272.5740392	6.654961319	0	0
8	2	2017-07-12 00:00:00.000	0	3.66512958	3.66512958	214.6563698	9.904805842	448.365156	47.26036111
8	2	2017-07-18 00:00:00.000	0	1.158994532	1.158994532	204.2932128	9.141010533	226.8697734	17.22039482
8	2	2017-08-08 00:00:00.000	0	1.766798806	1.766798806	646.2584121	6.837377128	0	52.89540334
8	3	2017-07-05 00:00:00.000	0	5.976694526	5.976694526	209.5028117	4.935584848	453.8111221	48.53446846
8	3	2017-07-12 00:00:00.000	0	2.905240677	2.905240677	135.6092379	7.299746408	334.7807525	33.7795569
8	3	2017-07-18 00:00:00.000	0	3.995310187	3.995310187	2366.365591	8.311255374	0	8.416354332
8	3	2017-08-08 00:00:00.000	1.047048055	1.356671027	2.403719082	121.5126822	7.25116614	336.6632321	40.81186086
8	4	2017-07-05 00:00:00.000	0	5.904470023	5.904470023	280.135448	4.543076274	35.39302015	32.14944955
8	4	2017-07-12 00:00:00.000	0	2.198370946	2.198370946	168.6827048	10.25048218	235.2683076	20.88752192
8	4	2017-07-18 00:00:00.000	0	1.535319105	1.535319105	321.110845	7.489970477	3.28759513	17.97814898
8	4	2017-08-08 00:00:00.000	5.849116558	0	5.849116558	48.75630095	0	542.9508887	43.49727437
8	5	2017-07-05 00:00:00.000	0	8.290304135	8.290304135	127.4565203	0.362883879	748.742171	54.72325759
8	5	2017-07-12 00:00:00.000	0	2.448343465	2.448343465	175.8065752	7.107299017	215.4264435	29.07391831
8	5	2017-07-18 00:00:00.000	0	4.171062739	4.171062739	171.0080756	4.76763556	339.6524244	25.68482709
8	5	2017-08-08 00:00:00.000	2.906804156	0	2.906804156	73.75431382	3.739589527	353.0219389	42.05868294
9	1	2017-07-05 00:00:00.000	0	6.523595551	6.523595551	284.8662296	11.13853538	270.4247187	36.59508712
9	1	2017-07-12 00:00:00.000	0.610890676	2.444080009	3.054970685	196.0608879	12.85853688	546.3265451	63.23696631
9	1	2017-07-18 00:00:00.000	0	8.476222563	8.476222563	432.3093791	14.95831971	441.4908962	33.68023584
9	1	2017-08-08 00:00:00.000	2.065942048	2.431932667	4.497874715	211.0380145	12.25705092	372.9075157	60.37976055
9	2	2017-07-05 00:00:00.000	0	5.730534939	5.730534939	257.6371009	9.862601553	296.173115	32.75825294
9	2	2017-07-12 00:00:00.000	1.57265851	2.368982915	3.941641425	114.479615	7.630376875	285.9335056	30.96089882
9	2	2017-07-18 00:00:00.000	0	4.064324502	4.064324502	303.5439537	5.072942098	0	14.78907921
9	2	2017-08-08 00:00:00.000	1.464426966	1.644089569	3.108516535	124.2849181	6.053304671	298.5933635	41.44983266
9	3	2017-07-05 00:00:00.000	0	5.120751823	5.120751823	206.2178	7.508855064	417.0681543	45.50717778
9	3	2017-07-12 00:00:00.000	0	4.206881489	4.206881489	1365.715924	8.60129866	0	30.24171042
9	3	2017-07-18 00:00:00.000	0	7.900712498	7.900712498	257.4460072	7.749137592	232.1914571	23.98862622
9	3	2017-08-08 00:00:00.000	1.557479025	1.136791497	2.694270522	87.05784568	4.509975481	291.7213935	39.28422622
9	4	2017-07-05 00:00:00.000	0	6.432496249	6.432496249	223.9358332	9.286982649	368.9398684	39.19585401
9	4	2017-07-12 00:00:00.000	0	4.395452213	4.395452213	319.7999577	14.63173749	241.3949997	28.29486862
9	4	2017-07-18 00:00:00.000	0	4.071379348	4.071379348	240.1268205	6.138895225	254.3144576	6.253662299
9	4	2017-08-08 00:00:00.000	1.029068143	1.828581104	2.857649247	98.95388586	4.457718495	250.9354856	47.21273054
9	5	2017-07-05 00:00:00.000	0	4.496195087	4.496195087	188.4593994	8.047910324	298.9443461	37.62370504
9	5	2017-07-12 00:00:00.000	0	5.090581937	5.090581937	162.6440764	9.373632075	412.2354904	35.07609945
9	5	2017-07-18 00:00:00.000	0	4.592842782	4.592842782	193.4598408	2.551608468	194.8582435	18.34016723
9	5	2017-08-08 00:00:00.000	1.105321475	0	1.105321475	114.6305305	6.15999384	240.762839	37.31827596
10	1	2017-07-05 00:00:00.000	0	6.452522873	6.452522873	245.7393908	6.512741232	425.8766643	38.64549655
10	1	2017-07-14 00:00:00.000	0	2.294643302	2.294643302	162.5500636	9.700843133	129.1308099	16.34502594
10	1	2017-07-20 00:00:00.000	0	3.850501721	3.850501721	175.2696253	4.872171716	268.7350327	18.07398419
10	1	2017-08-10 00:00:00.000	0	2.380808578	2.380808578	195.0149629	9.230727774	322.642785	55.34665113
10	2	2017-07-05 00:00:00.000	0	6.87337953	6.87337953	313.8149539	12.86884372	224.4379506	31.42018802
10	2	2017-07-14 00:00:00.000	0	2.447601735	2.447601735	152.9251957	8.374796733	196.5607911	20.90991744
10	2	2017-07-20 00:00:00.000	0	3.802121157	3.802121157	233.4107812	5.593841001	277.1538216	14.81312755
10	2	2017-08-10 00:00:00.000	0	3.180070029	3.180070029	138.5775024	8.359511553	444.1622586	64.58369126
10	3	2017-07-05 00:00:00.000	0	6.173110069	6.173110069	387.3197356	13.3390351	71.72587697	16.70788215
10	3	2017-07-14 00:00:00.000	0	3.78243159	3.78243159	260.5707033	13.60718195	226.8652189	24.51607665
10	3	2017-07-20 00:00:00.000	0	4.593833138	4.593833138	426.5245488	7.634048321	0	7.09870235
10	3	2017-08-10 00:00:00.000	0	1.899815823	1.899815823	123.1313469	6.963397304	362.4069585	56.7699319
10	4	2017-07-05 00:00:00.000	0	2.806561582	2.806561582	471.4289915	16.93157773	48.99549888	16.91374054
10	4	2017-07-14 00:00:00.000	0	2.785027545	2.785027545	174.3283411	8.185167131	155.4101602	29.87239565
10	4	2017-07-20 00:00:00.000	0.297678705	4.084216187	4.381894892	450.5077249	10.90641947	0	6.073792656
10	4	2017-08-10 00:00:00.000	0	3.537086777	3.537086777	562.8892487	10.88964124	0	33.43191106
10	5	2017-07-05 00:00:00.000	0	4.771122859	4.771122859	478.0944246	17.05948145	69.34207338	26.9309987
10	5	2017-07-14 00:00:00.000	0	2.533272073	2.533272073	170.245826	4.823668671	0	18.85758349
10	5	2017-07-20 00:00:00.000	0	4.388317209	4.388317209	569.4229998	9.988383542	0	1.806671957
10	5	2017-08-10 00:00:00.000	0	2.987156336	2.987156336	588.209535	21.80509975	0	47.46616065
11	1	2017-07-05 00:00:00.000	0	5.982742083	5.982742083	327.5140995	12.78809265	155.1942404	31.36706189
11	1	2017-07-14 00:00:00.000	0	4.49153035	4.49153035	605.1121597	15.38669884	0	30.38967227
11	1	2017-07-20 00:00:00.000	0	5.13110942	5.13110942	311.6725029	5.520666986	0	17.13934622
11	1	2017-08-10 00:00:00.000	0	1.705627122	1.705627122	204.0939863	11.96212467	185.6801571	43.73697695
11	2	2017-07-05 00:00:00.000	0	5.543574858	5.543574858	326.0180008	10.61444877	222.9133761	27.06310677
11	2	2017-07-14 00:00:00.000	0	4.851613329	4.851613329	350.972719	14.42586842	66.51854323	35.84414877
11	2	2017-07-20 00:00:00.000	0	4.322060664	4.322060664	224.1275001	4.822381868	343.3302328	17.46298096
11	2	2017-08-10 00:00:00.000	0	1.300097579	1.300097579	174.935352	6.102931572	160.1795166	35.02812064
11	3	2017-07-05 00:00:00.000	0	5.900229841	5.900229841	300.72576	12.15179587	330.597788	30.91352517
11	3	2017-07-14 00:00:00.000	0	3.615247611	3.615247611	294.2141152	9.026841743	0	29.20452535
11	3	2017-07-20 00:00:00.000	0	4.173182616	4.173182616	329.2487826	6.731872603	0	11.29706253
11	3	2017-08-10 00:00:00.000	0	1.76102217	1.76102217	354.562629	5.646784959	0	39.02826706
11	4	2017-07-05 00:00:00.000	0	4.55129473	4.55129473	222.7157193	8.017862684	110.1958451	22.28945401
11	4	2017-07-14 00:00:00.000	0	3.861985117	3.861985117	231.0232767	11.84446717	295.4261934	38.2428733
11	4	2017-07-20 00:00:00.000	0	3.37333898	3.37333898	135.6987699	5.334603476	258.3536364	14.88949958
11	4	2017-08-10 00:00:00.000	0	2.38250067	2.38250067	252.2547247	8.000557987	193.0377392	43.01811206
11	5	2017-07-05 00:00:00.000	0	4.819875687	4.819875687	205.2855092	7.521289313	163.6678467	20.86453353
11	5	2017-07-14 00:00:00.000	0	2.789069205	2.789069205	162.8385757	7.533462949	281.3687275	33.36094804
11	5	2017-07-20 00:00:00.000	0	4.267195027	4.267195027	136.6016529	2.827659355	152.3081722	15.06431938
11	5	2017-08-10 00:00:00.000	0	0	0	116.9130033	6.30161088	239.2953226	39.09967645
12	1	2017-07-05 00:00:00.000	0	4.864542064	4.864542064	282.6311131	12.00381287	194.7971098	23.9631823
