Plot	Sample	SampDate	type	Latitude	Longitude	y_proj	x_proj
11	5	2017-08-10 16:06:49.000	WAYPOINT	41.302623	-105.640009	41.302623	-105.640009
12	1	2017-07-06 16:53:00.000	WAYPOINT	41.302223	-105.640622	41.302223	-105.640622
12	1	2017-07-14 15:54:13.000	WAYPOINT	41.302249	-105.640583	41.302249	-105.640583
12	1	2017-07-20 15:22:01.000	WAYPOINT	41.302402	-105.640487	41.302402	-105.640487
12	1	2017-08-10 15:50:17.000	WAYPOINT	41.302438	-105.640545	41.302438	-105.640545
12	2	2017-07-06 16:55:41.000	WAYPOINT	41.302279	-105.64032	41.302279	-105.64032
12	2	2017-07-14 15:56:04.000	WAYPOINT	41.302252	-105.640516	41.302252	-105.640516
12	2	2017-07-20 15:22:52.000	WAYPOINT	41.302261	-105.640543	41.302261	-105.640543
12	2	2017-08-10 15:51:54.000	WAYPOINT	41.302002	-105.640662	41.302002	-105.640662
12	3	2017-07-06 16:57:57.000	WAYPOINT	41.302391	-105.640249	41.302391	-105.640249
12	3	2017-07-14 15:57:56.000	WAYPOINT	41.302203	-105.640521	41.302203	-105.640521
12	3	2017-07-20 15:23:33.000	WAYPOINT	41.302272	-105.640417	41.302272	-105.640417
12	3	2017-08-10 15:53:07.000	WAYPOINT	41.302374	-105.640434	41.302374	-105.640434
12	4	2017-07-06 16:59:39.000	WAYPOINT	41.302455	-105.640167	41.302455	-105.640167
12	4	2017-07-14 15:59:06.000	WAYPOINT	41.302156	-105.640603	41.302156	-105.640603
12	4	2017-07-20 15:24:13.000	WAYPOINT	41.302217	-105.640331	41.302217	-105.640331
12	4	2017-08-10 15:54:04.000	WAYPOINT	41.302386	-105.640196	41.302386	-105.640196
12	5	2017-07-06 17:00:56.000	WAYPOINT	41.302457	-105.640295	41.302457	-105.640295
12	5	2017-07-14 16:00:14.000	WAYPOINT	41.302134	-105.640503	41.302134	-105.640503
12	5	2017-07-20 15:25:01.000	WAYPOINT	41.302333	-105.640179	41.302333	-105.640179
12	5	2017-08-10 15:54:50.000	WAYPOINT	41.302467	-105.640056	41.302467	-105.640056
